HUNT R=128 gamma* floor profile, d[0]=76 d[-1]=152 eff=0.597938
PHASE beam400: R=128 beam=400 ctrl=2 span=2 rank=l1deg dedup=999 (deterministic)
  row   0: kept=    4 bestdeg=126 top5L1=[168924678844171432443777716099766351655, 168957397221609675774455060433875826471, 168966083898817024766813263311327000363, 168976833162649697530245581958406534953] t=    0.0s
  row 115: kept=   76 bestdeg=144 top5L1=[236169222604613555693022590667647384974376524633782984107672, 236169222604613555693022590667647384974376524633783446926552, 236169222604613555693022590667647384974376524633788029239832, 236169222604613555693022590667647384974376524633788492058712, 236169222604613555693022590667647384974376524633892502216128] t=  250.6s
  row 116: BEAM DIED (all children pruned/failed)
PHASE beam400: no witness (search negative -- artefact, never infeasibility evidence)
PHASE beam1000: R=128 beam=1000 ctrl=2 span=2 rank=l1deg dedup=999 (deterministic)
  row   0: kept=    4 bestdeg=126 top5L1=[168924678844171432443777716099766351655, 168957397221609675774455060433875826471, 168966083898817024766813263311327000363, 168976833162649697530245581958406534953] t=    0.0s
  row   1: kept=    7 bestdeg=125 top5L1=[166306189365438096430953498997285968980, 166367420205532618290283337682507783256, 166416180921096201744412541036647406680, 166418131502147737868624648699619040340, 166426930184928874507844859683726941270] t=    0.0s
  row   2: kept=   10 bestdeg=124 top5L1=[163959393644402783511093716253877911941, 164018302545660944253560259541283553671, 164064992247379514304509056525500596611, 164125250651551115696092728762064355717, 164128213359787732307142683136904577411] t=    0.0s
  row   3: kept=   18 bestdeg=123 top5L1=[156433253415885571115608115988113879306, 156536812249745328507312080886457921804, 156610581197798148818102724564144320780, 156712419170959640568038372778485707018, 156757781952724274808318755446060970248] t=    0.1s
  row   4: kept=   29 bestdeg=122 top5L1=[148438400666076536019077571150319984785, 148804909780862152311653121636380450961, 148959467555713266654656066578195423377, 148980516702076464372379413528408236175, 149276263364643459034902087393063477393] t=    0.1s
  row   5: kept=   60 bestdeg=121 top5L1=[120514773887421208248932405161452770982, 127299780395365181619791282840642790234, 128169363141184586194742525351511076648, 128203602027299519667247622193711034150, 128219763975915118030763426945912942374] t=    0.2s
  row   6: kept=   71 bestdeg=120 top5L1=[74470088672323797052969940934960087551, 74933614372627418436003463985455091453, 74991058913429845459587590567105157861, 76166832376782570280623073639113575375, 76338660344486681163447550695139990247] t=    0.4s
  row   7: kept=  139 bestdeg=119 top5L1=[56669630268193800931557642433591972354, 58748177893374622727246168578749645782, 59181347431607820044453992802401781880, 59391193082819034221346940883398195572, 60127522279895043641479921962930942706] t=    0.6s
  row   8: kept=  319 bestdeg=118 top5L1=[22787381358801863461217980849862314705, 24155517658636309220224182747659694569, 26789843581169456530593371622053399561, 27149552568093967506949088586421023535, 29803066511080337395578150799770093909] t=    0.9s
  row   9: kept=  751 bestdeg=117 top5L1=[20616627879101745280230929368535502116, 20631101045795982127092458123073654058, 21337144655616688214490652073582103848, 21693131603057005647622130891336420646, 22088847124291041021052687883432070438] t=    1.9s
  row  10: kept= 1000 bestdeg=116 top5L1=[2871276540998663784966394268828797489, 3399174326824609789488353155666998793, 4354760689501444467251360725043953409, 4593068523503733121174468042923787005, 5227498449809150248981663145587840737] t=    4.1s
