a_hex	b_hex	cover	count	least_mask	least_rank
000000000002f1b4	0000000000000000	10	41	122810c6	9
000000000002f1b6	0000000000000000	11	56	12281216	9
000000000002f1bc	0000000000000000	11	9	12201256	9
000000000002f1be	0000000000000000	12	19	12201296	9
0000000000034800	0000000000000000	4	8	1242812c	9
0000000000034953	0000000000000000	9	2	3208120e	9
000000000003495b	0000000000000000	10	3	1240832c	9
000000000003d9f3	0000000000000000	13	1	32488124	9
000000000003d9fb	0000000000000000	14	2	12409324	9
000000000003f880	0000000000000000	8	2	320a0216	9
000000000003f9f7	0000000000000000	15	2	32081216	9
0000000000040000	0000000000000000	1	752	1122106c	9
0000000000040200	0000000000000000	2	685	1120132c	9
0000000000040600	0000000000000000	3	1022	112091a4	9
0000000000040800	0000000000000000	2	460	1102928c	9
0000000000040a01	0000000000000000	4	325	1140912c	9
0000000000040e01	0000000000000000	5	357	114091a4	9
0000000000044000	0000000000000000	2	14	10a29248	9
0000000000044210	0000000000000000	4	7	10e81248	9
0000000000044212	0000000000000000	5	12	30a8120a	9
0000000000044218	0000000000000000	5	1	10e11248	9
000000000004d000	0000000000000000	4	2	10aa9240	9
000000000004d630	0000000000000000	8	3	10e89240	9
000000000004d632	0000000000000000	9	4	30a89202	9
000000000004f000	0000000000000000	5	3	10ea1240	9
000000000004f634	0000000000000000	10	8	10e91240	9
000000000004f636	0000000000000000	11	6	30a81206	9
0000000000054800	0000000000000000	4	1	30cb0208	9
0000000000054a53	0000000000000000	9	3	30c9020a	9
0000000000064000	0000000000000000	3	43	102a124c	9
0000000000064310	0000000000000000	6	14	10691248	9
0000000000064312	0000000000000000	7	14	3028120e	9
0000000000064318	0000000000000000	7	1	30611248	9
000000000006d080	0000000000000000	6	1	306a9040	9
000000000006d7b0	0000000000000000	11	2	302892c0	9
000000000006d7b2	0000000000000000	12	1	30699200	9
000000000006f080	0000000000000000	7	6	106b1240	9
000000000006f7b4	0000000000000000	13	2	306812c0	9
000000000006f7b6	0000000000000000	14	4	30291206	9
0000000000074800	0000000000000000	5	1	304b1208	9
0000000000080000	0000000000000000	1	138	2ba0004a	9
0000000000100000	0000000000000000	1	132	0a821286	9
0000000000200000	0000000000000000	1	1618	08029217	9
0000000000300000	0000000000000000	2	263	0a821216	9
0000000000400000	0000000000000000	1	1808	08021897	9
0000000000500000	0000000000000000	2	254	0a8281a4	9
0000000000600000	0000000000000000	2	2036	08069125	9
0000000000700000	0000000000000000	3	387	0a829124	9
0000000000800000	0000000000000000	1	10	2b84100a	9
0000000000800001	0000000000000000	2	22	2b80180a	9
0000000000880000	0000000000000000	2	35	2b84008a	9
0000000000880001	0000000000000000	3	52	2b80088a	9
0000000001000000	0000000000000000	1	135	0b001287	9
0000000001200000	0000000000000000	2	223	0b008323	9
0000000001400000	0000000000000000	2	357	0b001887	9
0000000001600000	0000000000000000	3	539	0b008127	9
0000000001900000	0000000000000000	3	1	2b841280	9
0000000001900001	0000000000000000	4	3	2b801a80	9
0000000001980000	0000000000000000	4	3	2b840a80	9
0000000001980001	0000000000000000	5	7	2b808a80	9
0000000001b00000	0000000000000000	4	4	2b841a00	9
0000000001b00001	0000000000000000	5	8	2b809a00	9
0000000001b80000	0000000000000000	5	11	2b848a00	9
0000000001b80001	0000000000000000	6	17	2b880206	9
0000000001d00000	0000000000000000	4	6	2b841082	9
0000000001d00001	0000000000000000	5	13	2b801882	9
0000000001d80000	0000000000000000	5	25	2b840882	9
0000000001d80001	0000000000000000	6	24	2b808882	9
0000000001f00000	0000000000000000	5	19	2b841802	9
0000000001f00001	0000000000000000	6	21	2b809802	9
0000000001f80000	0000000000000000	6	51	2b840842	9
0000000001f80001	0000000000000000	7	31	2b880016	9
0000000002000000	0000000000000000	1	1084	0b220036	9
0000000002100000	0000000000000000	2	174	0b020296	9
0000000002300000	0000000000000000	3	282	0b020a16	9
0000000002500000	0000000000000000	3	295	0b020896	9
0000000002700000	0000000000000000	4	354	0b021816	9
0000000004000000	0000000000000000	1	13	2b28100a	9
0000000004080000	0000000000000000	2	62	2b28000e	9
0000000004800000	0000000000000000	2	12	2b0c100a	9
0000000004800001	0000000000000000	3	32	2b08100e	9
0000000004880000	0000000000000000	3	52	2b0c000e	9
0000000004880001	0000000000000000	4	58	2b08001e	9
0000000006000000	0000000000000000	2	75	2b281006	9
0000000006080000	0000000000000000	3	126	2b280016	9
0000000007900000	0000000000000000	5	1	2b0c1280	9
0000000007900001	0000000000000000	6	5	2b081282	9
0000000007980000	0000000000000000	6	6	2b0c0282	9
0000000007980001	0000000000000000	7	10	2b080286	9
0000000007b00000	0000000000000000	6	6	2b0c1202	9
0000000007b00001	0000000000000000	7	11	2b081206	9
0000000007b80000	0000000000000000	7	12	2b0c0206	9
0000000007b80001	0000000000000000	8	11	2b080216	9
0000000007d00000	0000000000000000	6	6	2b0c1082	9
0000000007d00001	0000000000000000	7	11	2b081086	9
0000000007d80000	0000000000000000	7	22	2b0c0086	9
0000000007d80001	0000000000000000	8	14	2b080096	9
0000000007f00000	0000000000000000	7	15	2b0c1006	9
0000000007f00001	0000000000000000	8	11	2b081016	9
0000000007f80000	0000000000000000	8	34	2b0c0016	9
0000000007f80001	0000000000000000	9	9	2b080816	9
0000000008000000	0000000000000000	1	502	2b00408e	9
000000000c000000	0000000000000000	2	68	2b20100e	9
000000000c080000	0000000000000000	3	29	2b20808a	9
000000000c800000	0000000000000000	3	18	2b04108a	9
000000000c800001	0000000000000000	4	10	2b00188c	9
000000000c880000	0000000000000000	4	29	2b04088a	9
000000000c880001	0000000000000000	5	2	2b00888a	9
000000000e000000	0000000000000000	3	149	2b201016	9
000000000e080000	0000000000000000	4	26	2b240882	9
000000000f900000	0000000000000000	6	2	2b041a80	9
000000000f980000	0000000000000000	7	3	2b048a80	9
000000000fb00000	0000000000000000	7	3	2b049a00	9
000000000fb80000	0000000000000000	8	1	2b448a00	9
000000000fd00000	0000000000000000	7	7	2b041882	9
000000000fd00001	0000000000000000	8	2	2b409084	9
000000000fd80000	0000000000000000	8	11	2b048882	9
000000000fd80001	0000000000000000	9	1	2b418880	9
000000000ff00000	0000000000000000	8	4	2b049804	9
000000000ff00001	0000000000000000	9	1	2b409804	9
