A052283: Triangle T(n,k) = digraphs on n nodes with k arcs
Computing rows 1..35

n= 1: 1 terms, T(n,0)=1  [0.000s, 1 parts]
n= 2: 3 terms, T(n,0)=1, T(n,1)=1  [0.000s, 2 parts]
n= 3: 7 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.000s, 3 parts]
n= 4: 13 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.000s, 5 parts]
n= 5: 21 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.000s, 7 parts]
n= 6: 31 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.000s, 11 parts]
n= 7: 43 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.000s, 15 parts]
n= 8: 57 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.000s, 22 parts]
n= 9: 73 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.001s, 30 parts]
n=10: 91 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.001s, 42 parts]
n=11: 111 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.002s, 56 parts]
n=12: 133 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.004s, 77 parts]
n=13: 157 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.005s, 101 parts]
n=14: 183 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.009s, 135 parts]
n=15: 211 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.012s, 176 parts]
n=16: 241 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.014s, 231 parts]
n=17: 273 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.032s, 297 parts]
n=18: 307 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.041s, 385 parts]
n=19: 343 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.066s, 490 parts]
n=20: 381 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.096s, 627 parts]
n=21: 421 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.159s, 792 parts]
n=22: 463 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.230s, 1002 parts]
n=23: 507 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.337s, 1255 parts]
n=24: 553 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.490s, 1575 parts]
n=25: 601 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.712s, 1958 parts]
n=26: 651 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.996s, 2436 parts]
n=27: 703 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [1.426s, 3010 parts]
n=28: 757 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [2.031s, 3718 parts]
n=29: 813 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [2.771s, 4565 parts]
n=30: 871 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [3.841s, 5604 parts]
n=31: 931 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [5.263s, 6842 parts]
n=32: 993 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [7.146s, 8349 parts]
n=33: 1057 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [9.568s, 10143 parts]
n=34: 1123 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [13.169s, 12310 parts]
n=35: 1191 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [17.421s, 14883 parts]

Written b008406.txt with 14315 entries
